"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","APC/C-mediated degradation of cell cycle proteins",0.000249441732426998,0.00543399220179429,0.49849310876659,-0.505877196009211,-2.02542465193588,41,"PSME2;PSMB6;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;UBE2E1;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;PSMD6;PSMD3;BUB3;UBB;PSMD12"
"2","Actin cytoskeleton regulation",9.00195983938903e-06,0.000475706950360087,0.593325476396405,0.399603817279018,2.24936849186281,55,"ITGAM;ITGAX;PPP1CB;IQGAP1;ARPC4;MSN;ARPC5;RHOA;MYL12B;ARPC1B;ARPC2;CDC42;MYL12A;ACTG1;RAC1;ARPC3"
"3","Activation of NF-kappaB in B cells",0.000354724935213781,0.0072795725835176,0.49849310876659,-0.486097022208325,-1.93478224348334,40,"PSME2;PSMB6;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;PSMD6;PSMD3;UBB;PSMD12"
"4","Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.00103652837538048,0.017472906899271,0.45505986738723,-0.538156467905025,-1.93837671007334,26,"RPS17;EIF3G;EIF3E;EIF4EBP1;EIF4A1;EIF3F;EIF3I;EIF3D;EIF1AX;EIF4E;EIF3J"
"5","Allograft rejection",4.88470956878521e-07,4.06867573494109e-05,0.659444398037935,-0.720912531895088,-2.38932853988606,19,"HLA-DQA1;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-F;HLA-DRB5;CD86"
"6","Alpha-4 beta-7 integrin signaling",0.00165594866236461,0.0249449287862583,0.45505986738723,0.973330294050604,1.60048800449583,2,"CD44;RHOA"
"7","Alzheimer's disease",1e-10,1.96278845908086e-08,NA,-0.581622177949983,-2.57829274349823,75,"ATP5E;ATP5G2;ATP5G3;NDUFA3;NDUFB7;ATP5J;NDUFB8;ATP5H;NDUFS7;NDUFA6;ATP5O;NDUFS8;ATP5D;ATP5B;UQCRFS1;NDUFC1;ATP5C1;LRP1;NDUFB5;SDHC;NDUFB6;LPL;UQCRC1;APOE;PSENEN;UQCRC2;NDUFS4;NDUFS3;ATP5F1;CYC1;NDUFV3;NDUFS2;APH1A;ATP5A1;HSD17B10;ATP2A2;ITPR2;NDUFA5;CAPN2;TNF;ATP5G1;NDUFA8;NCSTN"
"8","Amino acid metabolism",8.76870684455379e-06,0.000475706950360087,0.593325476396405,-0.482798015016412,-2.11377210287808,67,"PSME2;PSMB6;PSMA5;PSMB2;CNDP2;PSMB7;PSMB9;PSMC5;PSMB5;SMS;INHBA;PSMA3;PCBD1;MAT2A;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;APIP;KYNU;HSD17B10;SQRDL;PSMD14;ETHE1;PSMD1;PSMF1;PSMD2;PSMB10;ADI1;GLUD1;MAT2B;PSMD6;GLS;PSMD3;SRM;PSMD12;GRHPR"
"9","Amoebiasis",0.000838470148857113,0.0152214580869445,0.477270815362862,0.476294010002543,2.14182238869692,24,"IL1R2;SERPINB9;CXCL1;ITGAM;CXCL8;SERPINB1;TLR2"
"10","Antigen processing and presentation",1e-10,1.96278845908086e-08,NA,-0.704288216849715,-2.77408496285079,38,"HLA-DQA1;HSPA1B;CD74;PSME2;LGMN;HLA-DMB;PSMB6;HLA-DRB1;HSPA1A;HLA-DPB1;HLA-DRA;HLA-DPA1;HSPA6;HLA-DQB1;HLA-DQA2;HLA-F;HLA-DRB5;TAP1;PSMB9;CD4;PSMB5"
"11","Antigen processing: cross presentation",4.78213936875979e-05,0.00150477985470308,0.557332238758646,-0.504339352529463,-2.08384284125991,47,"PSME2;PSMB6;FCGR1A;HLA-F;PSMA5;PSMB2;CD36;PSMB7;TAP1;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;SEC61A1;PSMD6;PSMD3;TAP2;UBB;PSMD12"
"12","Apoptosis regulation",3.48741636300933e-05,0.00120443452927347,0.557332238758646,-0.536693207928781,-2.1488054066104,41,"PSME2;PSMB6;SHFM1;CDKN1A;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;APPL1;PSMD6;PSMD3;ATM;UBB;PSMD12"
"13","Asthma",1.35118261805746e-06,9.11083136747317e-05,0.643551836150722,-0.762472795864737,-2.30360607838624,14,"HLA-DQA1;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-DRB5"
"14","Autodegradation of Cdh1 by Cdh1-APC/C",1.66467331661843e-05,0.000714296186767181,0.575610261071129,-0.55835155740777,-2.1526721224671,35,"PSME2;PSMB6;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;UBE2E1;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10"
"15","Autoimmune thyroid disease",2.36035010969899e-07,2.22817050355585e-05,0.690132458796796,-0.749684749828685,-2.44873249012197,18,"HLA-DQA1;HLA-DMB;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-F;HLA-DRB5;CD86"
"16","Bacterial invasion of epithelial cells",0.00128476359154768,0.0206730141549036,0.45505986738723,0.43226269726014,2.00680950331296,25,"ARPC4;ARPC5;RHOA;ARPC1B;ARPC2;CDC42;ACTG1;RAC1;ARPC3;CLTB"
"17","CDC42 signaling events",9.15218367728462e-06,0.000475706950360087,0.593325476396405,0.55714600205601,2.62707080545033,26,"IQGAP1;ARPC4;ACTR2;ARPC5;ACTR3;ARPC1B;ARPC2;CDC42;RAC1;ARPC3"
"18","Cap-dependent translation initiation",0.00126819073944772,0.0206408975523905,0.45505986738723,-0.509226857276577,-1.93173710129074,32,"RPL36A;EIF3G;EIF3E;EIF4A1;RPL17;EIF3F;EIF5B;EIF3I;EIF3D;EIF1AX;EIF4E;RPL27A;EIF3J;EIF4G1;RPL31;RPL26L1;RPL13A;EIF2S1"
"19","Cardiac protection against reactive oxygen species",0.000176919399398377,0.00417529782580171,0.518848077743792,-0.990654205607477,-1.6185177769082,2,"GPX1;SOD1"
"20","Cell adhesion molecules (CAMs)",0.000910338074957746,0.0157199843187825,0.477270815362862,-0.48780459143221,-1.89930956126014,37,"HLA-DQA1;HLA-DMB;CD99;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-F;HLA-DRB5;CD4;CD86;SIGLEC1"
"21","Cell cycle checkpoints",0.000160097776843687,0.0039085940001838,0.518848077743792,-0.468808288253726,-1.96703750189458,52,"PSME2;PSMB6;CDKN1A;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;UBE2E1;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;RPA3;PSMD6;PSMD3;ATM;BUB3;UBB;PSMD12"
"22","Chemiosmotic coupling formation of ATP",6.62491072578167e-08,7.21605660592834e-06,0.704975715167238,-0.821546793591755,-2.40245958059314,13,"ATP5E;ATP5L;ATP5J2;ATP5I;ATP5J;ATP5H;ATP5O;ATP5D;ATP5B;ATP5C1"
"23","Chemokine signaling pathway",0.00134208781735723,0.021115514993087,0.45505986738723,0.302311129952203,1.72171732922279,57,"CCL7;CXCL1;CXCL8;FGR;CCL3L1;RHOA;GNG5;GNAI2;CDC42;CCL2;RAC1"
"24","Costimulation by the CD28 family",0.000342249913594537,0.00712685114190976,0.49849310876659,-0.553253892255596,-2.02727087238787,28,"HLA-DQA1;HLA-DRB1;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-DRB5;CD4;CD86"
"25","Cyclin A-Cdk2-associated events at S phase entry",0.000110692201617758,0.00284982104528628,0.538434096309916,-0.52047262930903,-2.06010421661391,39,"PSME2;PSMB6;CDKN1A;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;MAX;PSMD6;PSMD3;UBB;PSMD12"
"26","Cytokine-cytokine receptor interaction",0.000425824390220166,0.00837454634099659,0.49849310876659,0.373585179171883,2.02872226295855,42,"IL1R2;CCL7;IL1RAP;CXCL1;CSF3R;CXCL8;IFNGR2;CCL3L1;IL18R1;TNFSF14;CCL2"
"27","DNA replication",0.000418962463747703,0.00835564575586967,0.49849310876659,-0.408047176271283,-1.81181996617925,76,"PSME2;PSMB6;CDKN1A;PSMA5;PSMB2;PSMB7;POLE4;PSMB9;PSMC5;PSMB5;PSMA3;RNASEH2C;PSMC2;NUDC;PSMD11;PSMD13;PSMC3;PSMC4;XPO1;PSMD14;RNASEH2B;PPP1CC;PSMD1;PSMF1;PSMD2;PSMB10;PPP2R1A;RPA3;PPP2CB;SMC3;PSMD6;PSMD3;SEC13;BUB3;UBB;PSMD12"
"28","DNA replication pre-Initiation",2.12404957570656e-05,0.00085932977120014,0.575610261071129,-0.547303779529266,-2.16630570078934,39,"PSME2;PSMB6;CDKN1A;PSMA5;PSMB2;PSMB7;PSMB9;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;RPA3;PSMD6;PSMD3;UBB;PSMD12"
"29","Degradation of beta-catenin by the destruction complex",0.000107388951706476,0.00281597695585871,0.538434096309916,-0.519462480344537,-2.07981723972872,41,"PSME2;PSMB6;PSMA5;PSMB2;PSMB7;PSMB9;CD4;PSMC5;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;PSMD1;PSMF1;PSMD2;PSMB10;PPP2R1A;PPP2CB;PSMD6;PSMD3;UBB;PSMD12"
"30","Destabilization of mRNA by AUF1 (hnRNP D0)",7.16647484981662e-07,5.34090967754754e-05,0.659444398037935,-0.568781030280477,-2.31957359392777,45,"HSPB1;TCEB2;PSME2;PSMB6;HSPA1A;FCGR1A;PSMA5;PSMB2;PSMB7;TCEB1;PSMB9;PSMC5;HNRNPD;PSMB5;PSMA3;PSMC2;PSMD11;PSMD13;PSMC3;PSMC4;PSMD14;EIF4G1;PSMD1;PSMF1;PSMD2;PSMB10"
"31","ERBB1 downstream pathway",3.13861411451781e-05,0.00111741115657864,0.557332238758646,0.453279613000244,2.4104091197231,39,"DUSP6;YWHAZ;IQGAP1;ARPC4;ACTR2;ARPC5;YWHAB;ACTR3;ARPC1B;ARPC2;CDC42;RAC1;ARPC3"
"32","Electron transport chain",1e-10,1.96278845908086e-08,NA,-0.694533829647682,-2.96895079382448,58,"ATP5E;ATP5L;ATP5G2;ATP5J2;ATP5G3;ATP5I;NDUFA3;NDUFB7;UCP2;ATP5J;NDUFB8;ATP5H;NDUFA12;NDUFS7;NDUFA6;ATP5O;NDUFS8;ATP5D;ATP5B;UQCRFS1;NDUFC1;ATP5C1;NDUFB5;ATPIF1;SDHC;NDUFB6;UQCRC1;UQCRC2;NDUFS4;NDUFS3;ATP5F1;NDUFV3;NDUFS2"
"33","Endogenous Toll-like receptor signaling",0.000239590213625867,0.00530093347647231,0.518848077743792,0.698942263212459,2.25426848299953,10,"VCAN;S100A8;TLR2;S100A9;RHOA"
"34","Epithelial cell signaling in Helicobacter pylori infection",0.00255692980456107,0.036945026563862,0.431707695803346,0.466280943343245,1.94165855644042,19,"CXCL1;CXCL8;CDC42;ATP6V0B;RAC1;ATP6V1D;ATP6V1E1"
"35","FRA pathway",0.00145495495754695,0.0226397386800712,0.45505986738723,0.661592424933723,2.03839262949424,9,"THBD;CXCL8;JUND;CCL2;COL1A2"
"36","Fc gamma receptor-mediated phagocytosis",1.93661558699474e-05,0.000806543432701337,0.575610261071129,0.474255864338461,2.40183480434416,32,"MARCKSL1;ARPC4;VASP;ARPC5;PTPRC;MARCKS;ARPC1B;ARPC2;CDC42;RAC1;ARPC3"
"37","Focal adhesion",2.7642298494637e-05,0.0010300393333791,0.575610261071129,0.381561190716206,2.18916681879172,54,"ITGAM;ITGAX;PPP1CB;FGR;FLNA;VASP;RHOA;MYL12B;CDC42;MYL12A;SPP1;ACTG1;RAC1;CCND3"
"38","Folding of actin by CCT/TriC",0.000152481910297874,0.00378797166634719,0.518848077743792,-0.835691465084436,-2.02725925021162,7,"CCT8;CCT4;CCT6A;CCT3;TCP1;CCT7;CCT2"
"39","G13 signaling pathway",0.000887445663376018,0.0157077882417555,0.477270815362862,0.536661679891549,2.08017821918341,15,"PPP1CB;IQGAP1;RHOA;CDC42;RAC1;CALM1;CFL1"
"40","GPCR ligand binding",8.82963478191288e-05,0.00245152212768405,0.538434096309916,0.445436318649485,2.25588028256355,32,"CCL7;CXCL1;CD55;CXCL8;C5AR1;CCL3L1;PROK2;ANXA1;GNG5;CCL2"
